block_uuid,block_name,block_norm,district_name,district_norm,vintage,centroid_lon,centroid_lat
27ccec65-8261-4042-8328-ec520d3731d8,MAVLI,MAVLI,UDAIPUR,UDAIPUR,2021,73.94190148091259,24.775305057713663
98ccb488-74c9-4484-b722-98c0f43f09ee,SHERGARH,SHERGARH,JODHPUR,JODHPUR,2019,72.24835997782093,26.40452731611266
d0c8252d-d8ae-4bea-86bd-d02c8d3e6cc0,KHAIRABAD,KHAIRABAD,KOTA,KOTA,2019,75.94681419339236,24.708631687106223
b2657385-3339-4a8c-b917-888bd367dab2,NADOTI,NADOTI,KARAULI,KARAULI,2019,76.69368126123692,26.709155666797457
48f6d291-c2df-46a8-950e-feb1eb004294,MANDRAIL,MANDRAIL,KARAULI,KARAULI,2019,77.10692135789719,26.301967093627518
59a703b4-58f6-4fdc-b52e-0a1187615459,MANDOR,MANDOR,JODHPUR,JODHPUR,2019,73.05852148080831,26.340898682163473
a157f288-d2eb-4a12-9730-7346025e1e5e,DUNGLA,DUNGLA,CHITTAURGARH,CHITTAURGARH,2021,74.32628591519554,24.556680221132282
4c98d4e2-9ced-48c8-950c-53175e039804,FATEHPUR,FATEHPUR,SIKAR,SIKAR,2019,74.95702324283548,28.022738749726987
013b381d-4e1f-4a63-b0d8-d1b685a78fc2,PHAGI,PHAGI,JAIPUR,JAIPUR,2021,75.58852905683108,26.59573314123354
529fd7ab-76c4-43b0-bc12-1e99cbacae63,CHHABRA,CHHABRA,BARAN,BARAN,2019,76.90741205790842,24.64470419534172
6706baf7-686c-4813-86bb-e55d771fb497,NOHAR,NOHAR,HANUMANGARH,HANUMANGARH,2019,74.72764732524364,29.09301211102461
39189a74-52dd-4409-b511-4c44b8bd29e3,RAIPUR,RAIPUR,PALI,PALI,2021,74.0992926646168,26.08220239110357
1020e475-e657-4bab-a0db-cfe3ee62d5b2,DEOLI,DEOLI,TONK,TONK,2019,75.54156183590648,25.85538702484688
b660599d-d07d-405f-b9ce-568e0ca72914,DEOGARH,DEOGARH,RAJSAMAND,RAJSAMAND,2021,73.97004539882496,25.50778397281062
a7a1ad7b-576f-417c-95ec-58994f1f50c4,SIMALWARA,SIMALWARA,DUNGARPUR,DUNGARPUR,2019,73.74965006674033,23.52942170783445
0fa1157d-af2d-4d84-a95b-80b95715a09d,BHIM,BHIM,RAJSAMAND,RAJSAMAND,2021,74.05009057690235,25.709588292926135
1c407b61-e9f6-4a77-bb76-2d0335f990d8,UDAIPURWATI,UDAIPURWATI,JHUNJHUNUN,JHUNJHUNU,2019,75.55783352849805,27.846806151318653
